,id,price,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,host_response_time,host_since,cancellation_policy,neighbourhood_cleansed,air_con,check_in,cooking,childcare,entertainment,luxury,nature,clothing,accessibility,safety,internet,comfort,essentials,pet_friendly,smoking
6451,38986391,59.0,Singapore,103.86036,1.31123,100.0,1,18,0.0,15.0,1,3.0,1.0,1.0,apartment,Private room,363,1,0,4.0,2012-05-19,2,Kallang,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6452,38987378,49.0,Singapore,103.86203,1.31182,,0,18,0.0,15.0,1,3.0,1.0,1.0,apartment,Private room,341,1,0,4.0,2016-10-04,3,Kallang,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6453,38987390,200.0,Singapore,103.85898,1.3048,,0,1,0.0,0.0,2,1.0,1.0,0.0,hotel,Private room,95,0,0,4.0,2019-09-05,2,Rochor,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6454,38996210,120.0,Singapore,103.76426,1.29995,,0,180,0.0,0.0,2,1.0,0.0,1.0,apartment,Entire home/apt,184,0,0,4.0,2019-09-29,2,Clementi,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6455,39009057,182.0,Singapore,103.88861999999999,1.2965,100.0,2,5,349.0,349.0,4,2.0,2.0,2.0,apartment,Entire home/apt,343,0,0,1.0,2019-02-16,2,Marine Parade,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6456,39011692,148.0,Singapore,103.85571,1.31578,,0,3,0.0,25.0,4,1.0,1.0,1.0,apartment,Entire home/apt,181,0,0,3.0,2018-10-08,2,Kallang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6457,39015362,495.0,Singapore,103.83276,1.29447,,0,7,0.0,100.0,2,1.0,1.0,1.0,,Entire home/apt,364,0,0,4.0,2019-01-25,2,Singapore River,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6458,39016969,368.0,Singapore,103.84493,1.2997,,0,15,1000.0,80.0,6,2.0,2.0,2.0,apartment,Entire home/apt,301,0,0,4.0,2018-05-13,2,Museum,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6459,39036012,98.0,Singapore,103.88383,1.3122,100.0,1,30,0.0,100.0,4,2.0,1.0,1.0,apartment,Entire home/apt,156,0,0,4.0,2017-03-06,2,Geylang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6460,39037097,1000.0,Singapore,103.83224,1.29425,,0,7,0.0,0.0,4,1.0,2.0,2.0,,Entire home/apt,364,0,0,4.0,2019-01-25,2,Singapore River,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
